n,forced_solution,found,ops,runtime_s
50,1,1,1,6.1250029830262065e-06
50,1,1,1,3.7080026231706142e-06
50,1,1,1,3.16700607072562e-06
50,1,1,1,2.9579969123005867e-06
50,1,1,1,2.874992787837982e-06
50,1,1,1,2.874992787837982e-06
50,1,1,1,2.91600008495152e-06
50,1,1,1,4.7909998102113605e-06
50,1,1,1,3.2079988159239292e-06
50,1,1,1,2.749991836026311e-06
50,0,0,19600,0.001196625002194196
50,0,0,19600,0.0011830839939648286
50,0,0,19600,0.0011682079930324107
50,0,0,19600,0.0011669999948935583
50,0,0,19600,0.0011732499988283962
50,0,0,19600,0.0011701250041369349
50,0,0,19600,0.0011694999993778765
50,0,0,19600,0.0011698750022333115
50,0,0,19600,0.001141041997470893
50,0,0,19600,0.0011178330023540184
100,1,1,1,5.6670105550438166e-06
100,1,1,1,4.49999060947448e-06
100,1,1,1,4.540997906588018e-06
100,1,1,1,4.375004209578037e-06
100,1,1,1,4.457993782125413e-06
100,1,1,1,4.5000051613897085e-06
100,1,1,1,4.415996954776347e-06
100,1,1,1,4.542001988738775e-06
100,1,1,1,4.6670029405504465e-06
100,1,1,1,4.375004209578037e-06
100,0,0,161700,0.008601250010542572
100,0,0,161700,0.008483209006953984
100,0,0,161700,0.008350167001481168
100,0,0,161700,0.008389208000153303
100,0,0,161700,0.008349958996404894
100,0,0,161700,0.008354707999387756
100,0,0,161700,0.008381209001527168
100,0,0,161700,0.008355625002877787
100,0,0,161700,0.008353166995220818
100,0,0,161700,0.008382125000935048
200,1,1,1,8.041999535635114e-06
200,1,1,1,8.000002708286047e-06
200,1,1,1,7.792012183927e-06
200,1,1,1,7.875001756474376e-06
200,1,1,1,7.791997632011771e-06
200,1,1,1,7.875001756474376e-06
200,1,1,1,7.833004929125309e-06
200,1,1,1,7.833994459360838e-06
200,1,1,1,7.750000804662704e-06
200,1,1,1,7.834009011276066e-06
200,0,0,1313400,0.06625899999926332
200,0,0,1313400,0.06650145800085738
200,0,0,1313400,0.06643816600262653
200,0,0,1313400,0.06646899999759626
200,0,0,1313400,0.06649179199303035
200,0,0,1313400,0.06642649999412242
200,0,0,1313400,0.06638020800892264
200,0,0,1313400,0.0663885410031071
200,0,0,1313400,0.06645825000305194
200,0,0,1313400,0.06711950000317302
400,1,1,1,1.6249992768280208e-05
400,1,1,1,1.5583995264023542e-05
400,1,1,1,1.554099435452372e-05
400,1,1,1,1.5415993402712047e-05
400,1,1,1,1.5249999705702066e-05
400,1,1,1,1.5416997484862804e-05
400,1,1,1,1.5166995581239462e-05
400,1,1,1,1.5124998753890395e-05
400,1,1,1,1.4958000974729657e-05
400,1,1,1,1.5083001926541328e-05
400,0,0,10586800,0.5807111250032904
400,0,0,10586800,0.5753676250024
400,0,0,10586800,0.5732876249967376
400,0,0,10586800,0.5666548330045771
400,0,0,10586800,0.5669239999988349
400,0,0,10586800,0.5711503329948755
400,0,0,10586800,0.5704543330066372
400,0,0,10586800,0.5690832079999382
400,0,0,10586800,0.5695277920021908
400,0,0,10586800,0.5735284590045922
800,1,1,1,3.766600275412202e-05
800,1,1,1,2.9916001949459314e-05
800,1,1,1,2.9791990527883172e-05
800,1,1,1,2.937500539701432e-05
800,1,1,1,2.9417002224363387e-05
800,1,1,1,2.9625007300637662e-05
800,1,1,1,2.954198862425983e-05
800,1,1,1,2.9332994017750025e-05
800,1,1,1,2.9457994969561696e-05
800,1,1,1,2.9458999051712453e-05
800,0,0,85013600,4.698607208003523
800,0,0,85013600,4.736960416994407
800,0,0,85013600,4.7157306669978425
800,0,0,85013600,4.735450749998563
800,0,0,85013600,4.728092082994408
800,0,0,85013600,4.8332314580038656
800,0,0,85013600,4.70278325000254
800,0,0,85013600,4.718796624991228
800,0,0,85013600,4.704925333004212
800,0,0,85013600,4.696231583002373
